comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,60,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,solo,180,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,pack,60,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,pack,180,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,boss,60,500,1.000,0.000,0.000,0.952,35.0,0.00,0.048,1.000,1.482
trio-core,1,1,boss,180,500,1.000,0.000,0.000,0.951,35.1,0.00,0.049,1.000,1.482
trio-core,1,2,solo,60,500,1.000,0.000,0.000,0.953,5.8,0.00,0.047,1.000,1.482
trio-core,1,2,solo,180,500,1.000,0.000,0.000,0.953,5.7,0.00,0.047,1.000,1.482
trio-core,1,2,pack,60,500,0.110,0.088,0.802,0.504,27.6,2.69,0.922,0.450,0.138
trio-core,1,2,pack,180,500,0.130,0.092,0.778,0.495,27.8,2.64,0.912,0.379,0.163
trio-core,1,2,boss,60,500,0.340,0.552,0.108,0.512,51.2,1.67,0.755,0.622,0.429
trio-core,1,2,boss,180,500,0.364,0.000,0.636,0.522,51.6,2.15,0.810,0.573,0.461
trio-core,1,3,solo,60,500,1.000,0.000,0.000,0.731,9.9,0.00,0.269,1.000,1.371
trio-core,1,3,solo,180,500,1.000,0.000,0.000,0.730,9.9,0.00,0.270,1.000,1.370
trio-core,1,3,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.433,0.000
trio-core,1,3,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.435,0.000
trio-core,1,3,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,1,3,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,1,4,solo,60,500,0.004,0.000,0.996,0.325,16.8,2.99,0.999,0.404,0.005
trio-core,1,4,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,1,4,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.413,0.000
trio-core,1,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,1,4,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.424,0.000
trio-core,1,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,1,5,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,1,5,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,1,5,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.445,0.000
trio-core,1,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.443,0.000
trio-core,1,5,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.411,0.000
trio-core,1,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,1,6,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,1,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,1,6,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,1,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.343,0.000
trio-core,1,6,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.368,0.000
trio-core,1,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.372,0.000
trio-core,1,7,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.492,0.000
trio-core,1,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,1,7,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,1,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,7,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.250,0.000
trio-core,1,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.251,0.000
trio-core,1,8,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.490,0.000
trio-core,1,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.494,0.000
trio-core,1,8,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.494,0.000
trio-core,1,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.491,0.000
trio-core,1,8,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.355,0.000
trio-core,1,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.353,0.000
