comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,solo,300,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,pack,180,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,pack,300,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,boss,180,500,1.000,0.000,0.000,0.951,35.1,0.00,0.049,1.000,1.482
trio-core,1,1,boss,300,500,1.000,0.000,0.000,0.950,35.1,0.00,0.050,1.000,1.481
trio-core,1,2,solo,180,500,1.000,0.000,0.000,1.000,5.8,0.00,0.000,1.000,1.506
trio-core,1,2,solo,300,500,1.000,0.000,0.000,1.000,5.8,0.00,0.000,1.000,1.506
trio-core,1,2,pack,180,500,1.000,0.000,0.000,0.855,25.9,0.00,0.145,1.000,1.433
trio-core,1,2,pack,300,500,1.000,0.000,0.000,0.849,25.9,0.00,0.151,1.000,1.430
trio-core,1,2,boss,180,500,1.000,0.000,0.000,0.946,50.1,0.00,0.054,1.000,1.479
trio-core,1,2,boss,300,500,1.000,0.000,0.000,0.949,50.0,0.00,0.051,1.000,1.480
trio-core,1,3,solo,180,500,1.000,0.000,0.000,0.925,9.9,0.00,0.075,1.000,1.468
trio-core,1,3,solo,300,500,1.000,0.000,0.000,0.925,9.9,0.00,0.075,1.000,1.468
trio-core,1,3,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.433,0.000
trio-core,1,3,pack,300,500,0.002,0.000,0.998,0.459,42.5,3.00,0.999,0.429,0.002
trio-core,1,3,boss,180,500,0.012,0.000,0.988,0.583,73.4,2.97,0.993,0.437,0.016
trio-core,1,3,boss,300,500,0.004,0.000,0.996,0.484,78.8,2.99,0.998,0.427,0.005
trio-core,1,4,solo,180,500,1.000,0.000,0.000,0.874,16.4,0.00,0.126,1.000,1.443
trio-core,1,4,solo,300,500,1.000,0.000,0.000,0.875,16.4,0.00,0.125,1.000,1.443
trio-core,1,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.359,0.000
trio-core,1,4,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.360,0.000
trio-core,1,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,4,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,5,solo,180,500,0.348,0.000,0.652,0.504,23.8,2.30,0.825,0.495,0.437
trio-core,1,5,solo,300,500,0.400,0.000,0.600,0.485,23.8,2.22,0.806,0.506,0.499
trio-core,1,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,1,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.403,0.000
trio-core,1,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,1,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,1,6,solo,180,500,0.002,0.000,0.998,0.321,36.4,3.00,0.999,0.379,0.002
trio-core,1,6,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.378,0.000
trio-core,1,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.344,0.000
trio-core,1,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.363,0.000
trio-core,1,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,1,7,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,1,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,1,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.492,0.000
trio-core,1,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.252,0.000
trio-core,1,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.257,0.000
trio-core,1,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.494,0.000
trio-core,1,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.493,0.000
trio-core,1,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.354,0.000
trio-core,1,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.362,0.000
trio-core,5,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,500,1.000,0.000,0.000,0.975,8.8,0.00,0.025,1.000,1.517
trio-core,5,1,pack,300,500,1.000,0.000,0.000,0.976,8.8,0.00,0.024,1.000,1.518
trio-core,5,1,boss,180,500,1.000,0.000,0.000,1.000,17.7,0.00,0.000,0.911,1.530
trio-core,5,1,boss,300,500,1.000,0.000,0.000,1.000,17.7,0.00,0.000,0.912,1.530
trio-core,5,2,solo,180,500,1.000,0.000,0.000,0.967,1.7,0.00,0.033,1.000,1.513
trio-core,5,2,solo,300,500,1.000,0.000,0.000,0.967,1.7,0.00,0.033,1.000,1.513
trio-core,5,2,pack,180,500,1.000,0.000,0.000,0.989,12.7,0.00,0.011,0.999,1.525
trio-core,5,2,pack,300,500,1.000,0.000,0.000,0.991,12.7,0.00,0.009,1.000,1.525
trio-core,5,2,boss,180,500,1.000,0.000,0.000,0.971,25.6,0.00,0.029,0.888,1.515
trio-core,5,2,boss,300,500,1.000,0.000,0.000,0.969,25.6,0.00,0.031,0.884,1.514
trio-core,5,3,solo,180,500,1.000,0.000,0.000,0.897,3.7,0.00,0.103,1.000,1.477
trio-core,5,3,solo,300,500,1.000,0.000,0.000,0.897,3.7,0.00,0.103,1.000,1.478
trio-core,5,3,pack,180,500,1.000,0.000,0.000,0.981,17.9,0.00,0.019,0.953,1.521
trio-core,5,3,pack,300,500,1.000,0.000,0.000,0.979,17.9,0.00,0.021,0.953,1.519
trio-core,5,3,boss,180,500,1.000,0.000,0.000,0.952,37.4,0.00,0.048,0.848,1.506
trio-core,5,3,boss,300,500,1.000,0.000,0.000,0.951,37.3,0.00,0.049,0.847,1.505
trio-core,5,4,solo,180,500,1.000,0.000,0.000,0.950,7.0,0.00,0.050,1.000,1.504
trio-core,5,4,solo,300,500,1.000,0.000,0.000,0.953,7.0,0.00,0.047,1.000,1.506
trio-core,5,4,pack,180,500,0.424,0.000,0.576,0.596,29.4,2.06,0.748,0.476,0.561
trio-core,5,4,pack,300,500,0.446,0.000,0.554,0.592,29.3,2.02,0.736,0.483,0.590
trio-core,5,4,boss,180,500,1.000,0.000,0.000,0.839,59.7,0.17,0.161,0.780,1.448
trio-core,5,4,boss,300,500,1.000,0.000,0.000,0.841,59.2,0.14,0.159,0.784,1.449
trio-core,5,5,solo,180,500,1.000,0.000,0.000,0.905,11.6,0.00,0.095,0.999,1.482
trio-core,5,5,solo,300,500,1.000,0.000,0.000,0.906,11.7,0.00,0.094,1.000,1.482
trio-core,5,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.416,0.000
trio-core,5,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.389,0.000
trio-core,5,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.384,0.000
trio-core,5,6,solo,180,500,1.000,0.000,0.000,0.787,18.1,0.00,0.213,0.915,1.421
trio-core,5,6,solo,300,500,1.000,0.000,0.000,0.787,18.1,0.00,0.213,0.915,1.421
trio-core,5,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,5,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,5,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.413,0.000
trio-core,5,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,7,solo,180,500,0.006,0.000,0.994,0.413,30.9,2.99,0.998,0.460,0.007
trio-core,5,7,solo,300,500,0.012,0.000,0.988,0.478,32.5,2.98,0.994,0.456,0.015
trio-core,5,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,5,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.412,0.000
trio-core,5,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.504,0.000
trio-core,5,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.507,0.000
trio-core,5,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.283,0.000
trio-core,5,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.290,0.000
trio-core,10,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,pack,180,500,1.000,0.000,0.000,0.994,4.3,0.00,0.006,0.929,1.557
trio-core,10,1,pack,300,500,1.000,0.000,0.000,0.994,4.3,0.00,0.006,0.921,1.557
trio-core,10,1,boss,180,500,1.000,0.000,0.000,0.998,8.5,0.00,0.002,0.926,1.559
trio-core,10,1,boss,300,500,1.000,0.000,0.000,0.997,8.5,0.00,0.003,0.917,1.559
trio-core,10,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,pack,180,500,1.000,0.000,0.000,0.973,6.8,0.00,0.027,0.942,1.546
trio-core,10,2,pack,300,500,1.000,0.000,0.000,0.973,6.8,0.00,0.027,0.956,1.546
trio-core,10,2,boss,180,500,1.000,0.000,0.000,0.986,13.4,0.00,0.014,0.644,1.553
trio-core,10,2,boss,300,500,1.000,0.000,0.000,0.986,13.4,0.00,0.014,0.644,1.553
trio-core,10,3,solo,180,500,1.000,0.000,0.000,0.966,1.3,0.00,0.034,1.000,1.542
trio-core,10,3,solo,300,500,1.000,0.000,0.000,0.967,1.3,0.00,0.033,1.000,1.543
trio-core,10,3,pack,180,500,1.000,0.000,0.000,0.958,10.7,0.00,0.042,0.796,1.538
trio-core,10,3,pack,300,500,1.000,0.000,0.000,0.959,10.8,0.00,0.041,0.800,1.539
trio-core,10,3,boss,180,500,1.000,0.000,0.000,0.929,20.1,0.00,0.071,0.507,1.523
trio-core,10,3,boss,300,500,1.000,0.000,0.000,0.932,20.1,0.00,0.068,0.507,1.525
trio-core,10,4,solo,180,500,1.000,0.000,0.000,0.951,2.9,0.00,0.049,1.000,1.535
trio-core,10,4,solo,300,500,1.000,0.000,0.000,0.952,2.8,0.00,0.048,1.000,1.535
trio-core,10,4,pack,180,500,1.000,0.000,0.000,0.972,14.2,0.00,0.028,0.779,1.546
trio-core,10,4,pack,300,500,1.000,0.000,0.000,0.971,14.2,0.00,0.029,0.782,1.545
trio-core,10,4,boss,180,500,1.000,0.000,0.000,0.984,29.5,0.00,0.016,0.389,1.552
trio-core,10,4,boss,300,500,1.000,0.000,0.000,0.983,29.5,0.00,0.017,0.389,1.551
trio-core,10,5,solo,180,500,1.000,0.000,0.000,0.987,5.7,0.00,0.013,0.891,1.553
trio-core,10,5,solo,300,500,1.000,0.000,0.000,0.988,5.7,0.00,0.012,0.897,1.554
trio-core,10,5,pack,180,500,0.802,0.006,0.192,0.802,50.7,0.99,0.355,0.729,1.169
trio-core,10,5,pack,300,500,0.826,0.010,0.164,0.804,55.7,0.96,0.334,0.750,1.204
trio-core,10,5,boss,180,500,0.652,0.348,0.000,0.782,120.9,0.93,0.260,0.889,0.943
trio-core,10,5,boss,300,500,1.000,0.000,0.000,0.760,150.3,0.92,0.240,0.893,1.435
trio-core,10,6,solo,180,500,1.000,0.000,0.000,0.936,9.3,0.00,0.064,0.774,1.527
trio-core,10,6,solo,300,500,1.000,0.000,0.000,0.936,9.3,0.00,0.064,0.774,1.527
trio-core,10,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.443,0.000
trio-core,10,6,pack,300,500,0.002,0.000,0.998,0.431,35.7,3.00,0.999,0.441,0.003
trio-core,10,6,boss,180,500,0.012,0.144,0.844,0.708,131.1,2.69,0.911,0.638,0.017
trio-core,10,6,boss,300,500,0.062,0.082,0.856,0.713,217.7,2.71,0.907,0.691,0.087
trio-core,10,7,solo,180,500,1.000,0.000,0.000,0.775,18.5,0.36,0.225,0.650,1.443
trio-core,10,7,solo,300,500,1.000,0.000,0.000,0.767,18.4,0.35,0.233,0.648,1.439
trio-core,10,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,10,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,10,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.424,0.000
trio-core,10,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,10,8,solo,180,500,0.022,0.000,0.978,0.525,48.8,2.97,0.988,0.696,0.029
trio-core,10,8,solo,300,500,0.018,0.000,0.982,0.443,50.4,2.98,0.992,0.686,0.023
trio-core,10,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.472,0.000
trio-core,10,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.475,0.000
trio-core,10,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.415,0.000
trio-core,10,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,20,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,pack,180,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
trio-core,20,1,pack,300,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
trio-core,20,1,boss,180,500,1.000,0.000,0.000,0.968,3.9,0.00,0.032,0.504,1.603
trio-core,20,1,boss,300,500,1.000,0.000,0.000,0.968,3.9,0.00,0.032,0.504,1.603
trio-core,20,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,pack,180,500,1.000,0.000,0.000,0.973,2.8,0.00,0.027,1.000,1.606
trio-core,20,2,pack,300,500,1.000,0.000,0.000,0.973,2.8,0.00,0.027,1.000,1.605
trio-core,20,2,boss,180,500,1.000,0.000,0.000,0.986,5.7,0.00,0.014,0.500,1.612
trio-core,20,2,boss,300,500,1.000,0.000,0.000,0.986,5.7,0.00,0.014,0.500,1.612
trio-core,20,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,pack,180,500,1.000,0.000,0.000,0.940,3.8,0.00,0.060,0.684,1.588
trio-core,20,3,pack,300,500,1.000,0.000,0.000,0.941,3.8,0.00,0.059,0.689,1.588
trio-core,20,3,boss,180,500,1.000,0.000,0.000,0.946,7.6,0.00,0.054,0.333,1.591
trio-core,20,3,boss,300,500,1.000,0.000,0.000,0.947,7.6,0.00,0.053,0.334,1.592
trio-core,20,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,pack,180,500,1.000,0.000,0.000,0.964,5.8,0.00,0.036,0.667,1.600
trio-core,20,4,pack,300,500,1.000,0.000,0.000,0.962,5.8,0.00,0.038,0.667,1.600
trio-core,20,4,boss,180,500,1.000,0.000,0.000,0.969,12.4,0.00,0.031,0.212,1.603
trio-core,20,4,boss,300,500,1.000,0.000,0.000,0.968,12.3,0.00,0.032,0.214,1.603
trio-core,20,5,solo,180,500,1.000,0.000,0.000,0.963,1.8,0.00,0.037,1.000,1.600
trio-core,20,5,solo,300,500,1.000,0.000,0.000,0.963,1.8,0.00,0.037,1.000,1.600
trio-core,20,5,pack,180,500,1.000,0.000,0.000,0.894,9.9,0.00,0.106,0.438,1.563
trio-core,20,5,pack,300,500,1.000,0.000,0.000,0.890,9.9,0.00,0.110,0.439,1.561
trio-core,20,5,boss,180,500,1.000,0.000,0.000,0.929,18.3,0.00,0.071,0.260,1.582
trio-core,20,5,boss,300,500,1.000,0.000,0.000,0.925,18.3,0.00,0.075,0.260,1.580
trio-core,20,6,solo,180,500,1.000,0.000,0.000,0.900,3.6,0.00,0.100,0.577,1.566
trio-core,20,6,solo,300,500,1.000,0.000,0.000,0.904,3.6,0.00,0.096,0.585,1.568
trio-core,20,6,pack,180,500,1.000,0.000,0.000,0.833,37.8,0.36,0.167,0.709,1.530
trio-core,20,6,pack,300,500,1.000,0.000,0.000,0.838,41.2,0.38,0.162,0.741,1.533
trio-core,20,6,boss,180,500,1.000,0.000,0.000,0.826,97.9,0.76,0.174,0.816,1.526
trio-core,20,6,boss,300,500,1.000,0.000,0.000,0.826,91.0,0.73,0.174,0.793,1.526
trio-core,20,7,solo,180,500,1.000,0.000,0.000,0.950,5.9,0.00,0.050,0.500,1.593
trio-core,20,7,solo,300,500,1.000,0.000,0.000,0.948,5.9,0.00,0.052,0.500,1.592
trio-core,20,7,pack,180,500,0.312,0.000,0.688,0.796,133.5,2.36,0.752,0.795,0.471
trio-core,20,7,pack,300,500,0.280,0.000,0.720,0.791,138.1,2.43,0.778,0.789,0.422
trio-core,20,7,boss,180,500,0.100,0.900,0.000,0.839,83.3,0.96,0.308,0.931,0.153
trio-core,20,7,boss,300,500,0.342,0.658,0.000,0.793,202.2,0.95,0.277,0.953,0.516
trio-core,20,8,solo,180,500,1.000,0.000,0.000,0.839,9.9,0.00,0.161,0.258,1.533
trio-core,20,8,solo,300,500,1.000,0.000,0.000,0.843,9.8,0.00,0.157,0.260,1.535
