comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,solo,300,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,pack,180,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,pack,300,500,1.000,0.000,0.000,1.000,17.4,0.00,0.000,1.000,1.506
trio-core,1,1,boss,180,500,1.000,0.000,0.000,0.956,34.7,0.00,0.044,1.000,1.484
trio-core,1,1,boss,300,500,1.000,0.000,0.000,0.956,34.7,0.00,0.044,1.000,1.484
trio-core,1,2,solo,180,500,1.000,0.000,0.000,0.895,5.0,0.00,0.105,1.000,1.453
trio-core,1,2,solo,300,500,1.000,0.000,0.000,0.896,5.0,0.00,0.104,1.000,1.454
trio-core,1,2,pack,180,500,1.000,0.000,0.000,0.884,25.9,0.00,0.116,1.000,1.448
trio-core,1,2,pack,300,500,1.000,0.000,0.000,0.878,25.9,0.00,0.122,1.000,1.445
trio-core,1,2,boss,180,500,1.000,0.000,0.000,0.950,50.0,0.00,0.050,1.000,1.481
trio-core,1,2,boss,300,500,1.000,0.000,0.000,0.953,50.0,0.00,0.047,1.000,1.482
trio-core,1,3,solo,180,500,1.000,0.000,0.000,0.905,9.4,0.00,0.095,1.000,1.458
trio-core,1,3,solo,300,500,1.000,0.000,0.000,0.904,9.4,0.00,0.096,1.000,1.458
trio-core,1,3,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.431,0.000
trio-core,1,3,pack,300,500,0.002,0.000,0.998,0.459,42.5,3.00,0.999,0.425,0.002
trio-core,1,3,boss,180,500,0.020,0.000,0.980,0.711,73.8,2.94,0.986,0.382,0.027
trio-core,1,3,boss,300,500,0.020,0.000,0.980,0.564,74.1,2.96,0.989,0.383,0.026
trio-core,1,4,solo,180,500,1.000,0.000,0.000,0.880,16.2,0.00,0.120,1.000,1.446
trio-core,1,4,solo,300,500,1.000,0.000,0.000,0.883,16.2,0.00,0.117,1.000,1.447
trio-core,1,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.359,0.000
trio-core,1,4,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.360,0.000
trio-core,1,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.374,0.000
trio-core,1,4,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,5,solo,180,500,0.478,0.000,0.522,0.505,23.7,1.99,0.759,0.555,0.601
trio-core,1,5,solo,300,500,0.548,0.000,0.452,0.478,23.7,1.89,0.738,0.573,0.682
trio-core,1,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,1,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.403,0.000
trio-core,1,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,1,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,1,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.379,0.000
trio-core,1,6,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.378,0.000
trio-core,1,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.344,0.000
trio-core,1,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.363,0.000
trio-core,1,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,1,7,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,1,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,1,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.492,0.000
trio-core,1,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.252,0.000
trio-core,1,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.257,0.000
trio-core,1,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.494,0.000
trio-core,1,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.493,0.000
trio-core,1,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.354,0.000
trio-core,1,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.362,0.000
trio-core,5,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,500,1.000,0.000,0.000,0.889,7.1,0.00,0.111,1.000,1.473
trio-core,5,1,pack,300,500,1.000,0.000,0.000,0.890,7.1,0.00,0.110,1.000,1.474
trio-core,5,1,boss,180,500,1.000,0.000,0.000,0.982,14.6,0.00,0.018,1.000,1.521
trio-core,5,1,boss,300,500,1.000,0.000,0.000,0.981,14.7,0.00,0.019,1.000,1.520
trio-core,5,2,solo,180,500,1.000,0.000,0.000,0.967,1.7,0.00,0.033,1.000,1.513
trio-core,5,2,solo,300,500,1.000,0.000,0.000,0.967,1.7,0.00,0.033,1.000,1.513
trio-core,5,2,pack,180,500,1.000,0.000,0.000,0.989,12.7,0.00,0.011,1.000,1.524
trio-core,5,2,pack,300,500,1.000,0.000,0.000,0.991,12.7,0.00,0.009,1.000,1.525
trio-core,5,2,boss,180,500,1.000,0.000,0.000,0.988,25.1,0.00,0.012,1.000,1.524
trio-core,5,2,boss,300,500,1.000,0.000,0.000,0.989,25.2,0.00,0.011,1.000,1.524
trio-core,5,3,solo,180,500,1.000,0.000,0.000,0.897,3.7,0.00,0.103,1.000,1.477
trio-core,5,3,solo,300,500,1.000,0.000,0.000,0.897,3.7,0.00,0.103,1.000,1.478
trio-core,5,3,pack,180,500,1.000,0.000,0.000,1.000,17.9,0.00,0.000,1.000,1.530
trio-core,5,3,pack,300,500,1.000,0.000,0.000,1.000,17.9,0.00,0.000,1.000,1.530
trio-core,5,3,boss,180,500,1.000,0.000,0.000,0.965,37.3,0.00,0.035,1.000,1.512
trio-core,5,3,boss,300,500,1.000,0.000,0.000,0.961,37.1,0.00,0.039,1.000,1.510
trio-core,5,4,solo,180,500,1.000,0.000,0.000,0.933,6.6,0.00,0.067,1.000,1.496
trio-core,5,4,solo,300,500,1.000,0.000,0.000,0.937,6.6,0.00,0.063,1.000,1.498
trio-core,5,4,pack,180,500,0.424,0.000,0.576,0.607,29.4,2.06,0.742,0.488,0.564
trio-core,5,4,pack,300,500,0.446,0.000,0.554,0.604,29.2,2.02,0.731,0.495,0.592
trio-core,5,4,boss,180,500,1.000,0.000,0.000,0.937,53.7,0.00,0.063,1.000,1.498
trio-core,5,4,boss,300,500,1.000,0.000,0.000,0.938,53.8,0.00,0.062,1.000,1.498
trio-core,5,5,solo,180,500,1.000,0.000,0.000,0.906,11.4,0.00,0.094,1.000,1.482
trio-core,5,5,solo,300,500,1.000,0.000,0.000,0.906,11.5,0.00,0.094,1.000,1.482
trio-core,5,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.416,0.000
trio-core,5,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,5,boss,180,500,0.002,0.000,0.998,0.704,82.5,2.99,0.999,0.378,0.003
trio-core,5,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,5,6,solo,180,500,1.000,0.000,0.000,0.812,18.1,0.00,0.188,1.000,1.434
trio-core,5,6,solo,300,500,1.000,0.000,0.000,0.810,18.1,0.00,0.190,1.000,1.433
trio-core,5,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,5,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,5,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.414,0.000
trio-core,5,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,7,solo,180,500,0.018,0.000,0.982,0.594,27.3,2.96,0.989,0.435,0.024
trio-core,5,7,solo,300,500,0.030,0.000,0.970,0.503,27.4,2.95,0.985,0.427,0.038
trio-core,5,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,5,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.412,0.000
trio-core,5,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,5,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.507,0.000
trio-core,5,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.283,0.000
trio-core,5,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.290,0.000
trio-core,10,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,pack,180,500,1.000,0.000,0.000,0.947,4.0,0.00,0.053,1.000,1.532
trio-core,10,1,pack,300,500,1.000,0.000,0.000,0.947,4.0,0.00,0.053,1.000,1.532
trio-core,10,1,boss,180,500,1.000,0.000,0.000,0.930,7.1,0.00,0.070,1.000,1.524
trio-core,10,1,boss,300,500,1.000,0.000,0.000,0.930,7.1,0.00,0.070,1.000,1.523
trio-core,10,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,pack,180,500,1.000,0.000,0.000,0.912,5.9,0.00,0.088,1.000,1.514
trio-core,10,2,pack,300,500,1.000,0.000,0.000,0.910,5.9,0.00,0.090,1.000,1.513
trio-core,10,2,boss,180,500,1.000,0.000,0.000,0.864,11.7,0.00,0.136,1.000,1.489
trio-core,10,2,boss,300,500,1.000,0.000,0.000,0.865,11.7,0.00,0.135,1.000,1.490
trio-core,10,3,solo,180,500,1.000,0.000,0.000,0.966,1.3,0.00,0.034,1.000,1.542
trio-core,10,3,solo,300,500,1.000,0.000,0.000,0.967,1.3,0.00,0.033,1.000,1.543
trio-core,10,3,pack,180,500,1.000,0.000,0.000,0.966,10.6,0.00,0.034,1.000,1.542
trio-core,10,3,pack,300,500,1.000,0.000,0.000,0.965,10.7,0.00,0.035,1.000,1.542
trio-core,10,3,boss,180,500,1.000,0.000,0.000,0.951,19.8,0.00,0.049,1.000,1.534
trio-core,10,3,boss,300,500,1.000,0.000,0.000,0.952,19.7,0.00,0.048,1.000,1.535
trio-core,10,4,solo,180,500,1.000,0.000,0.000,0.951,2.9,0.00,0.049,1.000,1.535
trio-core,10,4,solo,300,500,1.000,0.000,0.000,0.952,2.8,0.00,0.048,1.000,1.535
trio-core,10,4,pack,180,500,1.000,0.000,0.000,1.000,14.2,0.00,0.000,1.000,1.560
trio-core,10,4,pack,300,500,1.000,0.000,0.000,1.000,14.2,0.00,0.000,1.000,1.560
trio-core,10,4,boss,180,500,1.000,0.000,0.000,0.996,29.6,0.00,0.004,1.000,1.558
trio-core,10,4,boss,300,500,1.000,0.000,0.000,0.997,29.7,0.00,0.003,1.000,1.559
trio-core,10,5,solo,180,500,1.000,0.000,0.000,0.961,5.2,0.00,0.039,1.000,1.540
trio-core,10,5,solo,300,500,1.000,0.000,0.000,0.960,5.1,0.00,0.040,1.000,1.539
trio-core,10,5,pack,180,500,0.770,0.012,0.218,0.854,22.2,0.82,0.340,0.728,1.143
trio-core,10,5,pack,300,500,0.760,0.014,0.226,0.871,22.1,0.81,0.334,0.706,1.135
trio-core,10,5,boss,180,500,1.000,0.000,0.000,0.916,43.1,0.00,0.084,1.000,1.517
trio-core,10,5,boss,300,500,1.000,0.000,0.000,0.919,43.0,0.00,0.081,1.000,1.518
trio-core,10,6,solo,180,500,1.000,0.000,0.000,0.936,9.1,0.00,0.064,1.000,1.527
trio-core,10,6,solo,300,500,1.000,0.000,0.000,0.933,9.1,0.00,0.067,1.000,1.525
trio-core,10,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,10,6,pack,300,500,0.002,0.000,0.998,0.431,35.7,3.00,0.999,0.410,0.003
trio-core,10,6,boss,180,500,0.058,0.000,0.942,0.873,66.4,2.83,0.949,0.430,0.087
trio-core,10,6,boss,300,500,0.070,0.000,0.930,0.870,66.3,2.80,0.939,0.436,0.104
trio-core,10,7,solo,180,500,1.000,0.000,0.000,0.830,15.4,0.00,0.170,1.000,1.472
trio-core,10,7,solo,300,500,1.000,0.000,0.000,0.830,15.3,0.00,0.170,1.000,1.472
trio-core,10,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,10,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,10,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.416,0.000
trio-core,10,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.411,0.000
trio-core,10,8,solo,180,500,0.364,0.000,0.636,0.647,24.0,2.14,0.764,0.709,0.501
trio-core,10,8,solo,300,500,0.356,0.000,0.644,0.671,24.0,2.12,0.761,0.705,0.494
trio-core,10,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.472,0.000
trio-core,10,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.476,0.000
trio-core,10,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.414,0.000
trio-core,10,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,20,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,pack,180,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
trio-core,20,1,pack,300,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
trio-core,20,1,boss,180,500,1.000,0.000,0.000,0.972,3.9,0.00,0.028,1.000,1.605
trio-core,20,1,boss,300,500,1.000,0.000,0.000,0.971,3.9,0.00,0.029,1.000,1.605
trio-core,20,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,pack,180,500,1.000,0.000,0.000,0.973,2.8,0.00,0.027,1.000,1.606
trio-core,20,2,pack,300,500,1.000,0.000,0.000,0.973,2.8,0.00,0.027,1.000,1.605
trio-core,20,2,boss,180,500,1.000,0.000,0.000,0.960,4.8,0.00,0.040,1.000,1.598
trio-core,20,2,boss,300,500,1.000,0.000,0.000,0.960,4.8,0.00,0.040,1.000,1.598
trio-core,20,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,pack,180,500,1.000,0.000,0.000,0.944,3.8,0.00,0.056,1.000,1.590
trio-core,20,3,pack,300,500,1.000,0.000,0.000,0.944,3.8,0.00,0.056,1.000,1.590
trio-core,20,3,boss,180,500,1.000,0.000,0.000,0.923,6.7,0.00,0.077,1.000,1.578
trio-core,20,3,boss,300,500,1.000,0.000,0.000,0.924,6.7,0.00,0.076,1.000,1.579
trio-core,20,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,pack,180,500,1.000,0.000,0.000,0.922,4.8,0.00,0.078,1.000,1.578
trio-core,20,4,pack,300,500,1.000,0.000,0.000,0.921,4.8,0.00,0.079,1.000,1.578
trio-core,20,4,boss,180,500,1.000,0.000,0.000,0.891,11.2,0.00,0.109,1.000,1.561
trio-core,20,4,boss,300,500,1.000,0.000,0.000,0.893,11.2,0.00,0.107,1.000,1.562
trio-core,20,5,solo,180,500,1.000,0.000,0.000,0.963,1.8,0.00,0.037,1.000,1.600
trio-core,20,5,solo,300,500,1.000,0.000,0.000,0.963,1.8,0.00,0.037,1.000,1.600
trio-core,20,5,pack,180,500,1.000,0.000,0.000,0.965,9.8,0.00,0.035,1.000,1.601
trio-core,20,5,pack,300,500,1.000,0.000,0.000,0.967,9.8,0.00,0.033,1.000,1.602
trio-core,20,5,boss,180,500,1.000,0.000,0.000,0.973,18.0,0.00,0.027,1.000,1.605
trio-core,20,5,boss,300,500,1.000,0.000,0.000,0.971,18.1,0.00,0.029,1.000,1.604
trio-core,20,6,solo,180,500,1.000,0.000,0.000,0.909,3.6,0.00,0.091,1.000,1.571
trio-core,20,6,solo,300,500,1.000,0.000,0.000,0.909,3.6,0.00,0.091,1.000,1.571
trio-core,20,6,pack,180,500,1.000,0.000,0.000,0.984,14.6,0.00,0.016,1.000,1.611
trio-core,20,6,pack,300,500,1.000,0.000,0.000,0.984,14.5,0.00,0.016,1.000,1.611
trio-core,20,6,boss,180,500,1.000,0.000,0.000,0.966,28.7,0.00,0.034,1.000,1.601
trio-core,20,6,boss,300,500,1.000,0.000,0.000,0.970,28.8,0.00,0.030,1.000,1.604
trio-core,20,7,solo,180,500,1.000,0.000,0.000,0.939,5.3,0.00,0.061,1.000,1.587
trio-core,20,7,solo,300,500,1.000,0.000,0.000,0.944,5.4,0.00,0.056,1.000,1.590
trio-core,20,7,pack,180,500,0.662,0.016,0.322,0.898,22.4,1.05,0.401,0.733,1.036
trio-core,20,7,pack,300,500,0.652,0.016,0.332,0.898,22.4,1.07,0.411,0.696,1.020
trio-core,20,7,boss,180,500,1.000,0.000,0.000,0.938,44.0,0.00,0.062,1.000,1.586
trio-core,20,7,boss,300,500,1.000,0.000,0.000,0.942,44.0,0.00,0.058,1.000,1.589
trio-core,20,8,solo,180,500,1.000,0.000,0.000,0.914,9.8,0.00,0.086,1.000,1.573
trio-core,20,8,solo,300,500,1.000,0.000,0.000,0.916,9.8,0.00,0.084,1.000,1.575
