comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,solo,300,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.487
trio-core,1,1,pack,180,500,1.000,0.000,0.000,0.998,17.6,0.00,0.002,1.000,1.505
trio-core,1,1,pack,300,500,1.000,0.000,0.000,0.999,17.6,0.00,0.001,1.000,1.505
trio-core,1,1,boss,180,500,1.000,0.000,0.000,0.956,34.9,0.00,0.044,1.000,1.484
trio-core,1,1,boss,300,500,1.000,0.000,0.000,0.956,34.9,0.00,0.044,1.000,1.484
trio-core,1,2,solo,180,500,1.000,0.000,0.000,0.895,5.0,0.00,0.105,1.000,1.453
trio-core,1,2,solo,300,500,1.000,0.000,0.000,0.896,5.1,0.00,0.104,1.000,1.454
trio-core,1,2,pack,180,500,1.000,0.000,0.000,0.865,26.2,0.00,0.135,1.000,1.438
trio-core,1,2,pack,300,500,1.000,0.000,0.000,0.859,26.1,0.00,0.141,1.000,1.435
trio-core,1,2,boss,180,500,1.000,0.000,0.000,0.952,50.4,0.00,0.048,1.000,1.482
trio-core,1,2,boss,300,500,1.000,0.000,0.000,0.956,50.4,0.00,0.044,1.000,1.484
trio-core,1,3,solo,180,500,1.000,0.000,0.000,0.905,9.5,0.00,0.095,1.000,1.458
trio-core,1,3,solo,300,500,1.000,0.000,0.000,0.904,9.5,0.00,0.096,1.000,1.458
trio-core,1,3,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.430,0.000
trio-core,1,3,pack,300,500,0.002,0.000,0.998,0.459,42.9,3.00,0.999,0.425,0.002
trio-core,1,3,boss,180,500,0.018,0.000,0.982,0.545,73.0,2.96,0.990,0.382,0.023
trio-core,1,3,boss,300,500,0.010,0.000,0.990,0.562,74.2,2.98,0.994,0.377,0.013
trio-core,1,4,solo,180,500,1.000,0.000,0.000,0.833,16.4,0.00,0.167,1.000,1.422
trio-core,1,4,solo,300,500,1.000,0.000,0.000,0.836,16.3,0.00,0.164,1.000,1.424
trio-core,1,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.359,0.000
trio-core,1,4,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.360,0.000
trio-core,1,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.374,0.000
trio-core,1,4,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,5,solo,180,500,0.486,0.000,0.514,0.495,23.9,1.98,0.759,0.555,0.609
trio-core,1,5,solo,300,500,0.534,0.000,0.466,0.489,23.9,1.90,0.739,0.573,0.667
trio-core,1,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,1,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.403,0.000
trio-core,1,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,1,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.409,0.000
trio-core,1,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.381,0.000
trio-core,1,6,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.377,0.000
trio-core,1,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.344,0.000
trio-core,1,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,1,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.363,0.000
trio-core,1,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,1,7,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,1,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,1,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.492,0.000
trio-core,1,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.252,0.000
trio-core,1,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.257,0.000
trio-core,1,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.494,0.000
trio-core,1,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.493,0.000
trio-core,1,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.354,0.000
trio-core,1,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.362,0.000
trio-core,5,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,500,1.000,0.000,0.000,0.889,7.5,0.00,0.111,1.000,1.474
trio-core,5,1,pack,300,500,1.000,0.000,0.000,0.890,7.4,0.00,0.110,1.000,1.474
trio-core,5,1,boss,180,500,1.000,0.000,0.000,0.950,15.6,0.00,0.050,1.000,1.505
trio-core,5,1,boss,300,500,1.000,0.000,0.000,0.948,15.7,0.00,0.052,1.000,1.504
trio-core,5,2,solo,180,500,1.000,0.000,0.000,0.967,1.8,0.00,0.033,1.000,1.513
trio-core,5,2,solo,300,500,1.000,0.000,0.000,0.967,1.8,0.00,0.033,1.000,1.513
trio-core,5,2,pack,180,500,1.000,0.000,0.000,0.989,13.3,0.00,0.011,1.000,1.525
trio-core,5,2,pack,300,500,1.000,0.000,0.000,0.992,13.4,0.00,0.008,1.000,1.526
trio-core,5,2,boss,180,500,1.000,0.000,0.000,0.966,26.5,0.00,0.034,1.000,1.513
trio-core,5,2,boss,300,500,1.000,0.000,0.000,0.963,26.7,0.00,0.037,1.000,1.511
trio-core,5,3,solo,180,500,1.000,0.000,0.000,0.897,4.0,0.00,0.103,1.000,1.477
trio-core,5,3,solo,300,500,1.000,0.000,0.000,0.897,4.0,0.00,0.103,1.000,1.478
trio-core,5,3,pack,180,500,1.000,0.000,0.000,1.000,18.0,0.00,0.000,1.000,1.530
trio-core,5,3,pack,300,500,1.000,0.000,0.000,1.000,18.0,0.00,0.000,1.000,1.530
trio-core,5,3,boss,180,500,1.000,0.000,0.000,0.953,39.8,0.00,0.047,1.000,1.506
trio-core,5,3,boss,300,500,1.000,0.000,0.000,0.951,39.6,0.00,0.049,1.000,1.505
trio-core,5,4,solo,180,500,1.000,0.000,0.000,0.936,7.0,0.00,0.064,1.000,1.497
trio-core,5,4,solo,300,500,1.000,0.000,0.000,0.940,7.0,0.00,0.060,1.000,1.499
trio-core,5,4,pack,180,500,0.424,0.000,0.576,0.606,31.3,2.06,0.743,0.482,0.564
trio-core,5,4,pack,300,500,0.446,0.000,0.554,0.609,31.1,2.02,0.729,0.487,0.593
trio-core,5,4,boss,180,500,1.000,0.000,0.000,0.911,56.3,0.00,0.089,1.000,1.485
trio-core,5,4,boss,300,500,1.000,0.000,0.000,0.917,56.3,0.00,0.083,1.000,1.488
trio-core,5,5,solo,180,500,1.000,0.000,0.000,0.910,11.8,0.00,0.090,1.000,1.484
trio-core,5,5,solo,300,500,1.000,0.000,0.000,0.911,11.8,0.00,0.089,1.000,1.485
trio-core,5,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.416,0.000
trio-core,5,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.377,0.000
trio-core,5,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.373,0.000
trio-core,5,6,solo,180,500,1.000,0.000,0.000,0.812,18.8,0.00,0.188,1.000,1.434
trio-core,5,6,solo,300,500,1.000,0.000,0.000,0.810,18.9,0.00,0.190,1.000,1.433
trio-core,5,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,5,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,5,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.414,0.000
trio-core,5,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,5,7,solo,180,500,0.022,0.000,0.978,0.407,28.4,2.97,0.991,0.435,0.027
trio-core,5,7,solo,300,500,0.028,0.000,0.972,0.457,28.2,2.96,0.987,0.427,0.035
trio-core,5,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,5,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,5,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.412,0.000
trio-core,5,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.504,0.000
trio-core,5,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.506,0.000
trio-core,5,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.283,0.000
trio-core,5,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.290,0.000
trio-core,10,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,pack,180,500,1.000,0.000,0.000,0.947,4.0,0.00,0.053,1.000,1.532
trio-core,10,1,pack,300,500,1.000,0.000,0.000,0.947,4.0,0.00,0.053,1.000,1.532
trio-core,10,1,boss,180,500,1.000,0.000,0.000,0.929,8.0,0.00,0.071,1.000,1.523
trio-core,10,1,boss,300,500,1.000,0.000,0.000,0.929,8.0,0.00,0.071,1.000,1.523
trio-core,10,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,pack,180,500,1.000,0.000,0.000,0.891,6.4,0.00,0.109,1.000,1.503
trio-core,10,2,pack,300,500,1.000,0.000,0.000,0.889,6.5,0.00,0.111,1.000,1.502
trio-core,10,2,boss,180,500,1.000,0.000,0.000,0.932,12.6,0.00,0.068,1.000,1.525
trio-core,10,2,boss,300,500,1.000,0.000,0.000,0.933,12.6,0.00,0.067,1.000,1.525
trio-core,10,3,solo,180,500,1.000,0.000,0.000,0.966,1.5,0.00,0.034,1.000,1.542
trio-core,10,3,solo,300,500,1.000,0.000,0.000,0.967,1.5,0.00,0.033,1.000,1.543
trio-core,10,3,pack,180,500,1.000,0.000,0.000,0.969,11.7,0.00,0.031,1.000,1.544
trio-core,10,3,pack,300,500,1.000,0.000,0.000,0.970,11.7,0.00,0.030,1.000,1.544
trio-core,10,3,boss,180,500,1.000,0.000,0.000,0.950,22.7,0.00,0.050,1.000,1.534
trio-core,10,3,boss,300,500,1.000,0.000,0.000,0.951,22.5,0.00,0.049,1.000,1.534
trio-core,10,4,solo,180,500,1.000,0.000,0.000,0.902,3.3,0.00,0.098,1.000,1.509
trio-core,10,4,solo,300,500,1.000,0.000,0.000,0.904,3.3,0.00,0.096,1.000,1.510
trio-core,10,4,pack,180,500,1.000,0.000,0.000,1.000,16.5,0.00,0.000,1.000,1.560
trio-core,10,4,pack,300,500,1.000,0.000,0.000,1.000,16.5,0.00,0.000,1.000,1.560
trio-core,10,4,boss,180,500,1.000,0.000,0.000,0.929,33.6,0.00,0.071,1.000,1.523
trio-core,10,4,boss,300,500,1.000,0.000,0.000,0.930,33.7,0.00,0.070,1.000,1.524
trio-core,10,5,solo,180,500,1.000,0.000,0.000,0.963,5.6,0.00,0.037,1.000,1.541
trio-core,10,5,solo,300,500,1.000,0.000,0.000,0.963,5.6,0.00,0.037,1.000,1.541
trio-core,10,5,pack,180,500,0.776,0.002,0.222,0.907,24.5,0.79,0.295,0.763,1.173
trio-core,10,5,pack,300,500,0.770,0.002,0.228,0.919,24.5,0.79,0.292,0.763,1.169
trio-core,10,5,boss,180,500,1.000,0.000,0.000,0.910,49.1,0.00,0.090,1.000,1.513
trio-core,10,5,boss,300,500,1.000,0.000,0.000,0.914,49.2,0.00,0.086,1.000,1.515
trio-core,10,6,solo,180,500,1.000,0.000,0.000,0.913,10.6,0.00,0.087,1.000,1.515
trio-core,10,6,solo,300,500,1.000,0.000,0.000,0.912,10.6,0.00,0.088,1.000,1.514
trio-core,10,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.411,0.000
trio-core,10,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.413,0.000
trio-core,10,6,boss,180,500,0.056,0.000,0.944,0.881,74.4,2.83,0.951,0.471,0.084
trio-core,10,6,boss,300,500,0.072,0.000,0.928,0.877,74.8,2.78,0.937,0.483,0.108
trio-core,10,7,solo,180,500,1.000,0.000,0.000,0.982,17.6,0.00,0.018,1.000,1.551
trio-core,10,7,solo,300,500,1.000,0.000,0.000,0.983,17.6,0.00,0.017,1.000,1.551
trio-core,10,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.401,0.000
trio-core,10,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.406,0.000
trio-core,10,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.413,0.000
trio-core,10,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.416,0.000
trio-core,10,8,solo,180,500,0.356,0.000,0.644,0.626,26.8,2.16,0.777,0.706,0.486
trio-core,10,8,solo,300,500,0.346,0.000,0.654,0.625,26.7,2.18,0.784,0.708,0.472
trio-core,10,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.473,0.000
trio-core,10,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.480,0.000
trio-core,10,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.414,0.000
trio-core,10,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.410,0.000
trio-core,20,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,pack,180,500,1.000,0.000,0.000,0.990,1.3,0.00,0.010,1.000,1.615
trio-core,20,1,pack,300,500,1.000,0.000,0.000,0.990,1.3,0.00,0.010,1.000,1.615
trio-core,20,1,boss,180,500,1.000,0.000,0.000,0.971,4.0,0.00,0.029,1.000,1.604
trio-core,20,1,boss,300,500,1.000,0.000,0.000,0.971,4.0,0.00,0.029,1.000,1.604
trio-core,20,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,2,pack,180,500,1.000,0.000,0.000,0.961,3.9,0.00,0.039,1.000,1.599
trio-core,20,2,pack,300,500,1.000,0.000,0.000,0.961,3.9,0.00,0.039,1.000,1.599
trio-core,20,2,boss,180,500,1.000,0.000,0.000,0.966,6.0,0.00,0.034,1.000,1.601
trio-core,20,2,boss,300,500,1.000,0.000,0.000,0.965,6.0,0.00,0.035,1.000,1.601
trio-core,20,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,3,pack,180,500,1.000,0.000,0.000,0.942,4.0,0.00,0.058,1.000,1.589
trio-core,20,3,pack,300,500,1.000,0.000,0.000,0.943,4.0,0.00,0.057,1.000,1.589
trio-core,20,3,boss,180,500,1.000,0.000,0.000,0.921,8.1,0.00,0.079,1.000,1.577
trio-core,20,3,boss,300,500,1.000,0.000,0.000,0.922,8.1,0.00,0.078,1.000,1.578
trio-core,20,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,4,pack,180,500,1.000,0.000,0.000,0.901,6.0,0.00,0.099,1.000,1.566
trio-core,20,4,pack,300,500,1.000,0.000,0.000,0.901,6.0,0.00,0.099,1.000,1.566
trio-core,20,4,boss,180,500,1.000,0.000,0.000,0.986,14.4,0.00,0.014,1.000,1.612
trio-core,20,4,boss,300,500,1.000,0.000,0.000,0.984,14.3,0.00,0.016,1.000,1.612
trio-core,20,5,solo,180,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.600
trio-core,20,5,solo,300,500,1.000,0.000,0.000,0.963,2.5,0.00,0.037,1.000,1.600
trio-core,20,5,pack,180,500,1.000,0.000,0.000,0.968,12.7,0.00,0.032,1.000,1.603
trio-core,20,5,pack,300,500,1.000,0.000,0.000,0.970,12.7,0.00,0.030,1.000,1.604
trio-core,20,5,boss,180,500,1.000,0.000,0.000,0.947,24.2,0.00,0.053,1.000,1.591
trio-core,20,5,boss,300,500,1.000,0.000,0.000,0.946,24.1,0.00,0.054,1.000,1.591
trio-core,20,6,solo,180,500,1.000,0.000,0.000,0.895,4.0,0.00,0.105,1.000,1.563
trio-core,20,6,solo,300,500,1.000,0.000,0.000,0.896,4.0,0.00,0.104,1.000,1.564
trio-core,20,6,pack,180,500,1.000,0.000,0.000,0.958,19.2,0.00,0.042,1.000,1.597
trio-core,20,6,pack,300,500,1.000,0.000,0.000,0.956,19.2,0.00,0.044,1.000,1.596
trio-core,20,6,boss,180,500,1.000,0.000,0.000,0.966,38.0,0.00,0.034,1.000,1.602
trio-core,20,6,boss,300,500,1.000,0.000,0.000,0.964,37.9,0.00,0.036,1.000,1.601
trio-core,20,7,solo,180,500,1.000,0.000,0.000,0.906,6.8,0.00,0.094,1.000,1.570
trio-core,20,7,solo,300,500,1.000,0.000,0.000,0.910,6.7,0.00,0.090,1.000,1.571
trio-core,20,7,pack,180,500,0.458,0.088,0.454,0.946,29.4,1.58,0.546,0.596,0.729
trio-core,20,7,pack,300,500,0.428,0.140,0.432,0.944,29.4,1.62,0.563,0.431,0.680
trio-core,20,7,boss,180,500,1.000,0.000,0.000,0.891,58.2,0.00,0.109,1.000,1.561
trio-core,20,7,boss,300,500,1.000,0.000,0.000,0.891,58.3,0.00,0.109,1.000,1.561
trio-core,20,8,solo,180,500,1.000,0.000,0.000,0.943,12.9,0.00,0.057,1.000,1.589
trio-core,20,8,solo,300,500,1.000,0.000,0.000,0.944,12.9,0.00,0.056,1.000,1.590
