comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,500,1.000,0.000,0.000,0.926,4.0,0.00,0.074,1.000,1.469
trio-core,1,1,solo,300,500,1.000,0.000,0.000,0.927,3.9,0.00,0.073,1.000,1.469
trio-core,1,1,pack,180,500,1.000,0.000,0.000,0.961,21.5,0.00,0.039,1.000,1.487
trio-core,1,1,pack,300,500,1.000,0.000,0.000,0.962,21.4,0.00,0.038,1.000,1.487
trio-core,1,1,boss,180,500,1.000,0.000,0.000,0.995,39.3,0.00,0.005,1.000,1.504
trio-core,1,1,boss,300,500,1.000,0.000,0.000,0.996,39.5,0.00,0.004,1.000,1.504
trio-core,1,2,solo,180,500,1.000,0.000,0.000,0.891,5.5,0.00,0.109,1.000,1.451
trio-core,1,2,solo,300,500,1.000,0.000,0.000,0.892,5.5,0.00,0.108,1.000,1.452
trio-core,1,2,pack,180,500,1.000,0.000,0.000,0.899,29.3,0.00,0.101,1.000,1.455
trio-core,1,2,pack,300,500,1.000,0.000,0.000,0.889,29.1,0.00,0.111,1.000,1.450
trio-core,1,2,boss,180,500,1.000,0.000,0.000,0.960,58.2,0.00,0.040,1.000,1.486
trio-core,1,2,boss,300,500,1.000,0.000,0.000,0.959,58.0,0.00,0.041,1.000,1.486
trio-core,1,3,solo,180,500,1.000,0.000,0.000,0.918,10.9,0.00,0.082,1.000,1.465
trio-core,1,3,solo,300,500,1.000,0.000,0.000,0.918,10.9,0.00,0.082,1.000,1.465
trio-core,1,3,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.448,0.000
trio-core,1,3,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.451,0.000
trio-core,1,3,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.422,0.000
trio-core,1,3,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.421,0.000
trio-core,1,4,solo,180,500,1.000,0.000,0.000,0.880,17.6,0.00,0.120,1.000,1.446
trio-core,1,4,solo,300,500,1.000,0.000,0.000,0.884,17.6,0.00,0.116,1.000,1.448
trio-core,1,4,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.351,0.000
trio-core,1,4,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.370,0.000
trio-core,1,4,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.369,0.000
trio-core,1,5,solo,180,500,0.090,0.000,0.910,0.533,25.3,2.83,0.952,0.434,0.114
trio-core,1,5,solo,300,500,0.080,0.000,0.920,0.529,25.4,2.85,0.958,0.431,0.102
trio-core,1,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.394,0.000
trio-core,1,5,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.395,0.000
trio-core,1,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.415,0.000
trio-core,1,5,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.418,0.000
trio-core,1,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.355,0.000
trio-core,1,6,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.352,0.000
trio-core,1,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.343,0.000
trio-core,1,6,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.344,0.000
trio-core,1,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.352,0.000
trio-core,1,6,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,1,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,1,7,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,1,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,1,7,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.256,0.000
trio-core,1,7,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.257,0.000
trio-core,1,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,solo,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,1,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,pack,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.340,0.000
trio-core,1,8,boss,300,500,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,5,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,500,1.000,0.000,0.000,0.946,8.0,0.00,0.054,1.000,1.502
trio-core,5,1,pack,300,500,1.000,0.000,0.000,0.946,7.9,0.00,0.054,1.000,1.502
trio-core,5,1,boss,180,500,1.000,0.000,0.000,0.965,19.6,0.00,0.035,1.000,1.512
trio-core,5,1,boss,300,500,1.000,0.000,0.000,0.965,19.7,0.00,0.035,1.000,1.512
trio-core,5,2,solo,180,500,1.000,0.000,0.000,0.963,2.1,0.00,0.037,1.000,1.511
trio-core,5,2,solo,300,500,1.000,0.000,0.000,0.962,2.1,0.00,0.038,1.000,1.511
trio-core,5,2,pack,180,500,1.000,0.000,0.000,1.000,14.2,0.00,0.000,1.000,1.530
trio-core,5,2,pack,300,500,1.000,0.000,0.000,1.000,14.2,0.00,0.000,1.000,1.530
trio-core,5,2,boss,180,500,1.000,0.000,0.000,0.992,29.2,0.00,0.008,1.000,1.526
trio-core,5,2,boss,300,500,1.000,0.000,0.000,0.994,29.4,0.00,0.006,1.000,1.527
trio-core,5,3,solo,180,500,1.000,0.000,0.000,0.892,4.2,0.00,0.108,1.000,1.475
trio-core,5,3,solo,300,500,1.000,0.000,0.000,0.893,4.2,0.00,0.107,1.000,1.475
trio-core,5,3,pack,180,500,1.000,0.000,0.000,0.945,20.9,0.00,0.055,1.000,1.502
trio-core,5,3,pack,300,500,1.000,0.000,0.000,0.944,20.9,0.00,0.056,1.000,1.502
trio-core,5,3,boss,180,500,1.000,0.000,0.000,0.943,41.9,0.00,0.057,1.000,1.501
trio-core,5,3,boss,300,500,1.000,0.000,0.000,0.942,41.9,0.00,0.058,1.000,1.501
trio-core,5,4,solo,180,500,1.000,0.000,0.000,0.956,7.6,0.00,0.044,1.000,1.508
trio-core,5,4,solo,300,500,1.000,0.000,0.000,0.956,7.6,0.00,0.044,1.000,1.508
trio-core,5,4,pack,180,500,0.022,0.036,0.942,0.563,35.3,2.92,0.979,0.404,0.029
trio-core,5,4,pack,300,500,0.020,0.048,0.932,0.522,33.4,2.91,0.979,0.358,0.026
trio-core,5,4,boss,180,500,0.448,0.000,0.552,0.814,61.6,1.66,0.635,0.659,0.643
trio-core,5,4,boss,300,500,0.440,0.000,0.560,0.815,61.8,1.68,0.641,0.655,0.632
trio-core,5,5,solo,180,500,1.000,0.000,0.000,0.949,12.5,0.00,0.051,1.000,1.504
