comp,power,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,naked,1,1,solo,180,200,1.000,0.000,0.000,0.941,3.4,0.00,0.059,1.000,1.477
trio-core,naked,1,1,solo,300,200,1.000,0.000,0.000,0.942,3.4,0.00,0.058,1.000,1.477
trio-core,naked,1,1,pack,180,200,1.000,0.000,0.000,0.972,20.0,0.00,0.028,1.000,1.492
trio-core,naked,1,1,pack,300,200,1.000,0.000,0.000,0.972,19.9,0.00,0.028,1.000,1.492
trio-core,naked,1,1,boss,180,200,1.000,0.000,0.000,0.961,39.0,0.00,0.039,0.999,1.486
trio-core,naked,1,1,boss,300,200,1.000,0.000,0.000,0.960,39.4,0.00,0.040,0.999,1.486
trio-core,naked,1,2,solo,180,200,1.000,0.000,0.000,0.952,9.8,0.00,0.048,1.000,1.482
trio-core,naked,1,2,solo,300,200,1.000,0.000,0.000,0.950,9.8,0.00,0.050,1.000,1.481
trio-core,naked,1,2,pack,180,200,0.000,0.015,0.985,—,—,2.98,0.996,0.382,0.000
trio-core,naked,1,2,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.393,0.000
trio-core,naked,1,2,boss,180,200,0.045,0.000,0.955,0.507,76.7,2.90,0.977,0.716,0.057
trio-core,naked,1,2,boss,300,200,0.010,0.000,0.990,0.526,73.9,2.98,0.995,0.678,0.013
trio-core,naked,1,3,solo,180,200,0.990,0.000,0.010,0.618,21.7,0.29,0.388,0.935,1.301
trio-core,naked,1,3,solo,300,200,0.980,0.000,0.020,0.635,22.0,0.34,0.378,0.940,1.296
trio-core,naked,1,3,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.431,0.000
trio-core,naked,1,3,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,naked,1,3,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.368,0.000
trio-core,naked,1,3,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.367,0.000
trio-core,naked,1,4,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.402,0.000
trio-core,naked,1,4,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.403,0.000
trio-core,naked,1,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.387,0.000
trio-core,naked,1,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.389,0.000
trio-core,naked,1,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.371,0.000
trio-core,naked,1,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.363,0.000
trio-core,naked,1,5,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.457,0.000
trio-core,naked,1,5,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.442,0.000
trio-core,naked,1,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.449,0.000
trio-core,naked,1,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.450,0.000
trio-core,naked,1,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.301,0.000
trio-core,naked,1,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.303,0.000
trio-core,naked,1,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,naked,1,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.338,0.000
trio-core,naked,1,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.337,0.000
trio-core,naked,1,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.342,0.000
trio-core,naked,1,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,1,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.333,0.000
trio-core,naked,1,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,1,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,1,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,1,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,1,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.328,0.000
trio-core,naked,1,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,1,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.334,0.000
trio-core,naked,1,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.329,0.000
trio-core,naked,1,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.328,0.000
trio-core,naked,1,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.333,0.000
trio-core,naked,1,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,1,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,5,1,solo,180,200,1.000,0.000,0.000,0.999,0.1,0.00,0.001,1.000,1.529
trio-core,naked,5,1,solo,300,200,1.000,0.000,0.000,0.999,0.1,0.00,0.001,1.000,1.530
trio-core,naked,5,1,pack,180,200,1.000,0.000,0.000,0.930,8.1,0.00,0.070,1.000,1.494
trio-core,naked,5,1,pack,300,200,1.000,0.000,0.000,0.913,8.1,0.00,0.087,1.000,1.486
trio-core,naked,5,1,boss,180,200,1.000,0.000,0.000,0.947,19.1,0.00,0.053,1.000,1.503
trio-core,naked,5,1,boss,300,200,1.000,0.000,0.000,0.949,19.0,0.00,0.051,1.000,1.504
trio-core,naked,5,2,solo,180,200,1.000,0.000,0.000,0.904,4.0,0.00,0.096,1.000,1.481
trio-core,naked,5,2,solo,300,200,1.000,0.000,0.000,0.902,4.0,0.00,0.098,1.000,1.480
trio-core,naked,5,2,pack,180,200,1.000,0.000,0.000,0.961,19.3,0.00,0.039,1.000,1.510
trio-core,naked,5,2,pack,300,200,1.000,0.000,0.000,0.961,19.1,0.00,0.039,1.000,1.510
trio-core,naked,5,2,boss,180,200,1.000,0.000,0.000,0.914,38.2,0.01,0.086,0.998,1.486
trio-core,naked,5,2,boss,300,200,1.000,0.000,0.000,0.914,39.7,0.03,0.086,0.999,1.486
trio-core,naked,5,3,solo,180,200,1.000,0.000,0.000,0.943,10.2,0.00,0.057,1.000,1.501
trio-core,naked,5,3,solo,300,200,1.000,0.000,0.000,0.932,10.4,0.00,0.068,1.000,1.496
trio-core,naked,5,3,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.419,0.000
trio-core,naked,5,3,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.419,0.000
trio-core,naked,5,3,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.518,0.000
trio-core,naked,5,3,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.531,0.000
trio-core,naked,5,4,solo,180,200,0.520,0.000,0.480,0.538,22.6,1.77,0.720,0.650,0.673
trio-core,naked,5,4,solo,300,200,0.485,0.000,0.515,0.557,22.4,1.83,0.730,0.651,0.633
trio-core,naked,5,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,naked,5,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,naked,5,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.439,0.000
trio-core,naked,5,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.440,0.000
trio-core,naked,5,5,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.484,0.000
trio-core,naked,5,5,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.484,0.000
trio-core,naked,5,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.486,0.000
trio-core,naked,5,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.485,0.000
trio-core,naked,5,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,5,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.325,0.000
trio-core,naked,5,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.345,0.000
trio-core,naked,5,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,naked,5,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.338,0.000
trio-core,naked,5,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.341,0.000
