comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,200,1.000,0.000,0.000,0.925,4.0,0.00,0.075,1.000,1.468
trio-core,1,1,solo,300,200,1.000,0.000,0.000,0.926,3.9,0.00,0.074,1.000,1.469
trio-core,1,1,pack,180,200,1.000,0.000,0.000,0.961,21.4,0.00,0.039,1.000,1.486
trio-core,1,1,pack,300,200,1.000,0.000,0.000,0.962,21.4,0.00,0.038,1.000,1.487
trio-core,1,1,boss,180,200,1.000,0.000,0.000,0.995,39.4,0.00,0.005,1.000,1.503
trio-core,1,1,boss,300,200,1.000,0.000,0.000,0.995,39.4,0.00,0.005,1.000,1.503
trio-core,1,2,solo,180,200,1.000,0.000,0.000,0.891,5.5,0.00,0.109,1.000,1.451
trio-core,1,2,solo,300,200,1.000,0.000,0.000,0.891,5.5,0.00,0.109,1.000,1.451
trio-core,1,2,pack,180,200,1.000,0.000,0.000,0.894,29.2,0.00,0.106,1.000,1.453
trio-core,1,2,pack,300,200,1.000,0.000,0.000,0.878,29.0,0.00,0.122,1.000,1.445
trio-core,1,2,boss,180,200,1.000,0.000,0.000,0.961,58.2,0.00,0.039,1.000,1.486
trio-core,1,2,boss,300,200,1.000,0.000,0.000,0.959,58.0,0.00,0.041,1.000,1.485
trio-core,1,3,solo,180,200,1.000,0.000,0.000,0.919,10.9,0.00,0.081,1.000,1.465
trio-core,1,3,solo,300,200,1.000,0.000,0.000,0.919,10.9,0.00,0.081,1.000,1.466
trio-core,1,3,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.448,0.000
trio-core,1,3,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.451,0.000
trio-core,1,3,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.424,0.000
trio-core,1,3,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.421,0.000
trio-core,1,4,solo,180,200,1.000,0.000,0.000,0.880,17.7,0.00,0.120,1.000,1.446
trio-core,1,4,solo,300,200,1.000,0.000,0.000,0.885,17.7,0.00,0.115,1.000,1.448
trio-core,1,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.348,0.000
trio-core,1,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.369,0.000
trio-core,1,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.369,0.000
trio-core,1,5,solo,180,200,0.105,0.000,0.895,0.522,25.3,2.81,0.945,0.440,0.133
trio-core,1,5,solo,300,200,0.075,0.000,0.925,0.515,26.0,2.86,0.961,0.425,0.095
trio-core,1,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.394,0.000
trio-core,1,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.398,0.000
trio-core,1,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.415,0.000
trio-core,1,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.414,0.000
trio-core,1,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.350,0.000
trio-core,1,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.355,0.000
trio-core,1,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.341,0.000
trio-core,1,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.346,0.000
trio-core,1,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.349,0.000
trio-core,1,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.347,0.000
trio-core,1,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.496,0.000
trio-core,1,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,1,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.497,0.000
trio-core,1,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.257,0.000
trio-core,1,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.255,0.000
trio-core,1,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,1,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,1,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,1,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.334,0.000
trio-core,1,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.352,0.000
trio-core,5,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,200,1.000,0.000,0.000,0.953,8.0,0.00,0.047,1.000,1.506
trio-core,5,1,pack,300,200,1.000,0.000,0.000,0.939,7.9,0.00,0.061,1.000,1.499
trio-core,5,1,boss,180,200,1.000,0.000,0.000,0.964,19.7,0.00,0.036,1.000,1.511
trio-core,5,1,boss,300,200,1.000,0.000,0.000,0.965,19.8,0.00,0.035,1.000,1.512
trio-core,5,2,solo,180,200,1.000,0.000,0.000,0.962,2.1,0.00,0.038,1.000,1.511
trio-core,5,2,solo,300,200,1.000,0.000,0.000,0.962,2.1,0.00,0.038,1.000,1.510
trio-core,5,2,pack,180,200,1.000,0.000,0.000,1.000,14.2,0.00,0.000,1.000,1.530
trio-core,5,2,pack,300,200,1.000,0.000,0.000,1.000,14.3,0.00,0.000,1.000,1.530
