comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,200,1.000,0.000,0.000,0.925,4.0,0.00,0.075,1.000,1.468
trio-core,1,1,solo,300,200,1.000,0.000,0.000,0.926,3.9,0.00,0.074,1.000,1.469
trio-core,1,1,pack,180,200,1.000,0.000,0.000,0.961,21.4,0.00,0.039,1.000,1.486
trio-core,1,1,pack,300,200,1.000,0.000,0.000,0.962,21.4,0.00,0.038,1.000,1.487
trio-core,1,1,boss,180,200,1.000,0.000,0.000,0.995,39.4,0.00,0.005,1.000,1.503
trio-core,1,1,boss,300,200,1.000,0.000,0.000,0.995,39.4,0.00,0.005,1.000,1.503
trio-core,1,2,solo,180,200,1.000,0.000,0.000,0.904,5.3,0.00,0.096,1.000,1.458
trio-core,1,2,solo,300,200,1.000,0.000,0.000,0.904,5.3,0.00,0.096,1.000,1.458
trio-core,1,2,pack,180,200,1.000,0.000,0.000,0.938,24.0,0.00,0.062,1.000,1.475
trio-core,1,2,pack,300,200,1.000,0.000,0.000,0.936,24.0,0.00,0.064,1.000,1.474
trio-core,1,2,boss,180,200,1.000,0.000,0.000,0.947,50.6,0.00,0.053,1.000,1.479
trio-core,1,2,boss,300,200,1.000,0.000,0.000,0.948,50.5,0.00,0.052,1.000,1.480
trio-core,1,3,solo,180,200,1.000,0.000,0.000,0.890,5.9,0.00,0.110,1.000,1.451
trio-core,1,3,solo,300,200,1.000,0.000,0.000,0.891,5.9,0.00,0.109,1.000,1.451
trio-core,1,3,pack,180,200,0.390,0.100,0.510,0.537,36.6,2.10,0.766,0.353,0.497
trio-core,1,3,pack,300,200,0.385,0.120,0.495,0.559,36.3,2.07,0.755,0.305,0.495
trio-core,1,3,boss,180,200,1.000,0.000,0.000,0.970,64.8,0.00,0.030,1.000,1.491
trio-core,1,3,boss,300,200,1.000,0.000,0.000,0.972,64.9,0.00,0.028,1.000,1.492
trio-core,1,4,solo,180,200,1.000,0.000,0.000,0.919,10.9,0.00,0.081,1.000,1.465
trio-core,1,4,solo,300,200,1.000,0.000,0.000,0.922,10.9,0.00,0.078,1.000,1.467
trio-core,1,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.441,0.000
trio-core,1,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.449,0.000
trio-core,1,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,1,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.419,0.000
trio-core,1,5,solo,180,200,1.000,0.000,0.000,0.939,15.6,0.00,0.061,1.000,1.475
trio-core,1,5,solo,300,200,1.000,0.000,0.000,0.938,15.7,0.00,0.062,1.000,1.475
trio-core,1,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.381,0.000
trio-core,1,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.383,0.000
trio-core,1,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.363,0.000
trio-core,1,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.374,0.000
trio-core,1,6,solo,180,200,1.000,0.000,0.000,0.694,19.1,0.00,0.306,1.000,1.352
trio-core,1,6,solo,300,200,1.000,0.000,0.000,0.696,19.1,0.00,0.304,1.000,1.353
trio-core,1,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.432,0.000
trio-core,1,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,1,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.362,0.000
trio-core,1,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.361,0.000
trio-core,1,7,solo,180,200,0.090,0.000,0.910,0.566,24.8,2.82,0.949,0.437,0.116
trio-core,1,7,solo,300,200,0.125,0.000,0.875,0.530,25.0,2.77,0.934,0.449,0.159
trio-core,1,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.393,0.000
trio-core,1,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.396,0.000
trio-core,1,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.420,0.000
trio-core,1,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.417,0.000
trio-core,1,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,1,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,1,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.382,0.000
trio-core,1,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.383,0.000
trio-core,1,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,1,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.433,0.000
trio-core,5,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.530
trio-core,5,1,pack,180,200,1.000,0.000,0.000,0.953,8.0,0.00,0.047,1.000,1.506
trio-core,5,1,pack,300,200,1.000,0.000,0.000,0.939,7.9,0.00,0.061,1.000,1.499
trio-core,5,1,boss,180,200,1.000,0.000,0.000,0.964,19.7,0.00,0.036,1.000,1.511
trio-core,5,1,boss,300,200,1.000,0.000,0.000,0.965,19.8,0.00,0.035,1.000,1.512
trio-core,5,2,solo,180,200,1.000,0.000,0.000,0.969,1.9,0.00,0.031,1.000,1.514
trio-core,5,2,solo,300,200,1.000,0.000,0.000,0.968,2.0,0.00,0.032,1.000,1.514
trio-core,5,2,pack,180,200,1.000,0.000,0.000,0.999,14.0,0.00,0.001,1.000,1.529
trio-core,5,2,pack,300,200,1.000,0.000,0.000,0.999,14.1,0.00,0.001,1.000,1.529
