comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,1,1,solo,180,200,1.000,0.000,0.000,0.941,3.4,0.00,0.059,1.000,1.477
trio-core,1,1,solo,300,200,1.000,0.000,0.000,0.942,3.4,0.00,0.058,1.000,1.477
trio-core,1,1,pack,180,200,1.000,0.000,0.000,0.972,20.0,0.00,0.028,1.000,1.492
trio-core,1,1,pack,300,200,1.000,0.000,0.000,0.972,19.9,0.00,0.028,1.000,1.492
trio-core,1,1,boss,180,200,1.000,0.000,0.000,0.977,39.0,0.00,0.023,1.000,1.495
trio-core,1,1,boss,300,200,1.000,0.000,0.000,0.978,39.5,0.00,0.022,1.000,1.495
trio-core,1,2,solo,180,200,1.000,0.000,0.000,0.952,9.8,0.00,0.048,1.000,1.482
trio-core,1,2,solo,300,200,1.000,0.000,0.000,0.950,9.8,0.00,0.050,1.000,1.481
trio-core,1,2,pack,180,200,0.000,0.015,0.985,—,—,2.98,0.996,0.382,0.000
trio-core,1,2,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.393,0.000
trio-core,1,2,boss,180,200,0.425,0.000,0.575,0.766,74.2,1.82,0.675,0.660,0.590
trio-core,1,2,boss,300,200,0.340,0.000,0.660,0.713,74.2,2.12,0.758,0.604,0.463
trio-core,1,3,solo,180,200,0.990,0.000,0.010,0.618,21.7,0.29,0.388,0.935,1.301
trio-core,1,3,solo,300,200,0.980,0.000,0.020,0.635,22.0,0.34,0.378,0.940,1.296
trio-core,1,3,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.431,0.000
trio-core,1,3,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.429,0.000
trio-core,1,3,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.368,0.000
trio-core,1,3,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.367,0.000
